epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.542586,0.75314,3.5026,0.89377,0.00333,1,0.04738,0.02015,0.49122,3.49583,0.7325,0,0,0
2,1.13833,0.69309,2.90215,0.88347,0.00333,1,0.04975,0.02174,0.50387,3.49636,0.73351,1.934e-05,1.934e-05,1.934e-05
3,1.73608,1.44007,3.47376,0.99087,0.00333,1,0.02843,0.0134,0.56157,3.51803,0.74765,3.736e-05,3.736e-05,3.736e-05
4,2.21554,0.87999,3.64531,0.82106,0.00333,1,0.01658,0.01327,0.60235,3.55453,0.75512,5.406e-05,5.406e-05,5.406e-05
5,2.72504,0.8374,3.45452,0.98886,0.00333,1,0.02031,0.01624,0.57519,3.63071,0.74528,6.944e-05,6.944e-05,6.944e-05
6,3.22638,1.13482,3.14397,0.96203,0.00333,1,0.03317,0.02653,0.66305,3.64475,0.7628,8.35e-05,8.35e-05,8.35e-05
7,3.76636,0.80475,4.03314,0.65892,0.00333,1,0.12437,0.07558,0.67091,3.60088,0.75554,9.624e-05,9.624e-05,9.624e-05
8,4.295,0.8357,2.97854,0.839,0.00333,1,0.199,0.1194,0.69791,3.4874,0.75171,0.00010766,0.00010766,0.00010766
9,4.84915,1.07734,2.72092,0.92048,0.00333,1,0.4975,0.398,0.77737,3.41779,0.76212,0.00011776,0.00011776,0.00011776
10,5.45818,0.57878,2.44244,0.78411,0.00333,1,0.995,0.6965,0.73288,3.61148,0.75646,0.00012654,0.00012654,0.00012654
11,5.99501,0.48109,2.83953,1.04216,0.00333,1,0.995,0.6965,0.79055,3.60318,0.76321,0.000134,0.000134,0.000134
12,6.50979,0.96076,2.711,0.8022,0.00333,1,0.995,0.6965,0.76073,3.54991,0.76183,0.00014014,0.00014014,0.00014014
13,7.06109,0.44493,2.70241,0.88903,0.00333,1,0.995,0.796,0.72622,3.51597,0.75874,0.00014496,0.00014496,0.00014496
14,7.6012,0.82283,1.51919,0.87881,0.00333,1,0.995,0.796,0.72549,3.4925,0.75649,0.00014846,0.00014846,0.00014846
15,8.15203,0.33301,2.03347,0.73844,0.00333,1,0.995,0.796,0.73372,3.49779,0.75374,0.00015064,0.00015064,0.00015064
16,8.6686,0.91314,2.24047,0.83696,0.00333,1,0.995,0.796,0.7121,3.44502,0.74508,0.0001515,0.0001515,0.0001515
17,9.33696,1.1462,1.86147,0.79207,0.00333,1,0.995,0.796,0.72645,3.31393,0.74357,0.00015104,0.00015104,0.00015104
18,9.94219,0.98097,2.47482,0.77325,0.00333,1,0.995,0.796,0.72645,3.31393,0.74357,0.00014926,0.00014926,0.00014926
19,10.5265,0.67494,1.53153,0.74661,0.00333,1,0.995,0.796,0.67302,3.25467,0.73452,0.00014616,0.00014616,0.00014616
20,11.0281,0.65652,1.77944,0.82213,0.00333,1,0.995,0.796,0.67302,3.25467,0.73452,0.00014174,0.00014174,0.00014174
21,11.6121,0.59553,1.56008,0.83761,0.00333,1,0.995,0.796,0.6067,3.20778,0.72869,0.000136,0.000136,0.000136
22,12.1875,0.73007,1.82975,0.77033,0.00333,1,0.995,0.796,0.6067,3.20778,0.72869,0.00012894,0.00012894,0.00012894
23,12.7555,0.46447,1.91882,0.80456,0.00333,1,0.995,0.8955,0.55611,3.17572,0.72401,0.00012056,0.00012056,0.00012056
24,13.3008,0.45657,1.25727,0.83592,0.00333,1,0.995,0.8955,0.55611,3.17572,0.72401,0.00011086,0.00011086,0.00011086
25,13.8828,0.35299,1.44931,0.83924,0.00333,1,0.995,0.8955,0.50132,3.14738,0.72043,9.984e-05,9.984e-05,9.984e-05
26,14.4198,0.63916,1.51462,0.79674,0.00333,1,0.995,0.8955,0.50132,3.14738,0.72043,8.75e-05,8.75e-05,8.75e-05
27,14.989,0.84616,2.28808,0.85958,0.00333,1,0.995,0.8955,0.46311,3.10899,0.71686,7.384e-05,7.384e-05,7.384e-05
28,15.5057,1.53249,2.72926,1.15292,0.00333,1,0.995,0.8955,0.46311,3.10899,0.71686,5.886e-05,5.886e-05,5.886e-05
29,16.1081,0.34512,1.35307,0.81002,0.00333,1,0.995,0.8955,0.45708,3.07568,0.71486,4.256e-05,4.256e-05,4.256e-05
30,16.6461,1.26085,2.57744,0.7833,0.00333,1,0.995,0.8955,0.45708,3.07568,0.71486,2.494e-05,2.494e-05,2.494e-05
