epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.485405,2.22333,3.98537,1.4565,0.00333,1,0.01171,0.01054,0.41266,3.19883,0.70632,0,0,0
2,1.11376,0.95694,3.00294,1.01895,0.00333,1,0.01157,0.01041,0.42295,3.21105,0.70609,1.934e-05,1.934e-05,1.934e-05
3,1.73662,1.9867,3.36271,1.30884,0.00333,1,0.01276,0.01148,0.43388,3.22256,0.70615,3.736e-05,3.736e-05,3.736e-05
4,2.40497,0.74523,3.51447,0.94301,0.00333,1,0.01631,0.01468,0.43633,3.22974,0.706,5.406e-05,5.406e-05,5.406e-05
5,3.01204,0.83547,3.45695,0.96858,0.00333,1,0.02163,0.01947,0.45876,3.24792,0.70762,6.944e-05,6.944e-05,6.944e-05
6,3.65047,1.20653,3.12174,1.02713,0.00333,1,0.04326,0.03893,0.47071,3.26521,0.70936,8.35e-05,8.35e-05,8.35e-05
7,4.25253,1.24828,4.40482,0.83872,0.00333,1,0.0995,0.08955,0.49939,3.28468,0.71215,9.624e-05,9.624e-05,9.624e-05
8,4.94323,0.95251,3.10629,0.93281,0.00333,1,0.199,0.1791,0.52603,3.30194,0.71633,0.00010766,0.00010766,0.00010766
9,5.56929,0.75635,3.02956,0.85917,0.00333,1,0.995,0.8955,0.55082,3.31726,0.7207,0.00011776,0.00011776,0.00011776
10,6.17702,0.42463,3.07321,0.76034,0.00333,1,0.995,0.8955,0.51691,3.32983,0.71979,0.00012654,0.00012654,0.00012654
11,6.8197,2.24293,3.98878,2.00729,0.00333,1,0.995,0.8955,0.49889,3.33059,0.72066,0.000134,0.000134,0.000134
12,7.43564,2.76638,4.78813,2.06559,0.00333,1,0.995,0.8955,0.47984,3.31873,0.71758,0.00014014,0.00014014,0.00014014
13,8.07524,1.06909,3.29426,1.04363,0.00333,1,0.995,0.8955,0.49371,3.27416,0.71932,0.00014496,0.00014496,0.00014496
14,8.66314,0.78442,3.29081,0.88353,0.00333,1,0.995,0.8955,0.46322,3.31218,0.7095,0.00014846,0.00014846,0.00014846
15,9.27431,0.89521,2.84915,0.84788,0.00333,1,0.995,0.8955,0.47829,3.29902,0.7097,0.00015064,0.00015064,0.00015064
16,9.89903,0.85581,2.57203,0.91538,0.00333,1,0.995,0.8955,0.47398,3.40474,0.70455,0.0001515,0.0001515,0.0001515
17,10.4941,0.93075,2.7803,0.92742,0.00333,1,0.995,0.8955,0.45737,3.44022,0.70851,0.00015104,0.00015104,0.00015104
18,11.2052,0.66151,2.84176,0.8758,0.00333,1,0.995,0.8955,0.45737,3.44022,0.70851,0.00014926,0.00014926,0.00014926
19,11.8765,0.81321,2.7787,0.90575,0.00333,1,0.995,0.8955,0.43636,3.42853,0.7127,0.00014616,0.00014616,0.00014616
