epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.441948,0.75314,3.5026,0.89377,0.00333,1,0.04738,0.02015,0.49122,3.49583,0.7325,0,0,0
2,1.02364,0.69309,2.90215,0.88347,0.00333,1,0.04975,0.02174,0.50387,3.49637,0.73351,1.934e-05,1.934e-05,1.934e-05
3,1.58583,1.44007,3.47376,0.99087,0.00333,1,0.02843,0.0134,0.56157,3.51802,0.74765,3.736e-05,3.736e-05,3.736e-05
4,2.14591,0.87999,3.64531,0.82106,0.00333,1,0.01658,0.01327,0.60235,3.55452,0.75512,5.406e-05,5.406e-05,5.406e-05
5,2.74601,0.8374,3.45452,0.98886,0.00333,1,0.0199,0.01592,0.57519,3.63071,0.74528,6.944e-05,6.944e-05,6.944e-05
6,3.34519,1.13482,3.14396,0.96203,0.00333,1,0.03317,0.02653,0.66327,3.64456,0.76283,8.35e-05,8.35e-05,8.35e-05
7,3.97487,0.80481,4.03137,0.65914,0.00333,1,0.12437,0.08037,0.67033,3.59965,0.75539,9.624e-05,9.624e-05,9.624e-05
8,4.65303,0.8362,2.97916,0.83931,0.00333,1,0.199,0.1194,0.69548,3.48322,0.75132,0.00010766,0.00010766,0.00010766
9,5.26868,1.085,2.71057,0.91726,0.00333,1,0.4975,0.398,0.77221,3.4103,0.7617,0.00011776,0.00011776,0.00011776
10,5.85691,0.58882,2.42287,0.78855,0.00333,1,0.995,0.6965,0.73576,3.6054,0.75577,0.00012654,0.00012654,0.00012654
11,6.48256,0.5135,2.87309,1.04263,0.00333,1,0.995,0.6965,0.78757,3.58055,0.76283,0.000134,0.000134,0.000134
12,7.12618,0.96094,2.66888,0.80159,0.00333,1,0.995,0.796,0.76388,3.5275,0.76167,0.00014014,0.00014014,0.00014014
13,7.72677,0.46328,2.55634,0.88362,0.00333,1,0.995,0.796,0.73552,3.49411,0.75894,0.00014496,0.00014496,0.00014496
14,8.31189,0.8012,1.40126,0.8739,0.00333,1,0.995,0.796,0.72611,3.46395,0.75636,0.00014846,0.00014846,0.00014846
15,8.92634,0.28133,1.95972,0.73733,0.00333,1,0.995,0.796,0.72932,3.46248,0.75614,0.00015064,0.00015064,0.00015064
16,9.51032,0.80385,2.16953,0.8516,0.00333,1,0.995,0.796,0.72338,3.44952,0.75326,0.0001515,0.0001515,0.0001515
17,10.1112,1.11882,1.81554,0.7561,0.00333,1,0.995,0.796,0.76504,3.39258,0.75665,0.00015104,0.00015104,0.00015104
18,10.6351,0.61421,2.5015,0.66504,0.00333,1,0.995,0.796,0.76504,3.39258,0.75665,0.00014926,0.00014926,0.00014926
19,11.2603,0.83788,1.7514,0.76211,0.00333,1,0.995,0.796,0.73589,3.37939,0.75279,0.00014616,0.00014616,0.00014616
20,11.835,0.64255,2.16445,0.82333,0.00333,1,0.995,0.796,0.73589,3.37939,0.75279,0.00014174,0.00014174,0.00014174
21,12.4757,0.74501,1.62753,0.84362,0.00333,1,0.995,0.796,0.6813,3.37507,0.74829,0.000136,0.000136,0.000136
22,13.0825,0.55682,1.75138,0.7457,0.00333,1,0.995,0.796,0.6813,3.37507,0.74829,0.00012894,0.00012894,0.00012894
